Recording,Animal,Slice,Cell,Genotype,Condition,peak,afterhyp,amp,thresh,half,rise,fall,IR,Rh,sag,Apnum,maxApnum
1,1,1,1,APOE3,Control,54.12861727,-48.28039103,93.90713274,-39.77851547,1.639949793,5.397113015,-1.139456471,209.5357639,131.0344828,15.5026376,12,12
2,1,2,2,APOE3,Control,48.68148903,-52.6647791,86.59680228,-37.91531324,1.708774386,5.624005362,-1.007926041,132.4834041,234.4827586,29.40400876,2,3
3,1,3,3,APOE3,Control,40.85085779,-54.24781158,84.02046826,-43.16961046,1.546897904,3.885193181,-1.107890586,86.65696547,151.7241379,27.16246837,8,14
4,2,4,4,APOE3,Control,45.72782545,-51.56072269,87.917163,-42.18933754,1.856733564,3.764657869,-0.959509255,72.18826087,160,23.97465759,12,12
5,2,5,5,APOE3,Control,53.93987332,-47.98607071,91.3952119,-37.45533858,1.781909514,6.065640623,-0.929087966,75.04340009,140,19.5084344,13,13
6,2,6,6,APOE3,Control,69.62625865,-24.44191982,82.15266755,-12.5264089,1.590438562,4.237316728,-1.062050112,64.29214328,140,-31.69246153,13,13
7,3,7,7,APOE3,Control,47.30582673,-48.85558066,86.08153239,-38.77570566,1.71291088,4.435493902,-0.943872511,104.4963703,140,25.53510527,13,13
8,3,8,8,APOE3,Control,44.95049837,-50.99860825,86.95770022,-42.00720185,1.820625058,3.787849082,-0.996299654,90.48786209,140,26.31365822,11,11
9,3,9,9,APOE3,Control,36.02020718,-47.8007312,75.44141683,-39.42120965,1.971590594,2.876773072,-0.957367127,81.73271341,200,25.41686282,11,11
10,4,10,10,APOE3,Control,35.96998166,-47.4063974,71.04221865,-35.07223699,2.238859678,1.726634452,-0.720029666,92.70270391,180,24.60357367,5,5
11,4,11,11,APOE3,Control,39.77006588,-48.21149921,74.55246618,-34.78240031,2.088016387,2.753449416,-0.808265047,61.03175481,180,18.38871077,10,10
12,4,12,12,APOE3,Control,42.43532816,-48.006838,78.95816691,-36.52283875,1.976624888,3.481908329,-0.822814615,91.28427596,120,23.09209756,14,14
13,5,13,13,APOE3,Control,39.2225961,-48.82337659,78.41695474,-39.19435863,1.983795134,3.053349914,-0.865118829,84.38985965,140,29.44881552,2,8
14,5,14,14,APOE3,Control,47.56345959,-47.92166256,87.36969564,-39.80623605,1.837598564,2.986929292,-0.96085287,129.7941307,120,23.60676207,6,9
15,5,15,15,APOE3,Control,46.3719076,-49.43525396,84.40691954,-38.03501194,1.739960542,3.452882162,-1.024089979,111.9400149,120,22.40249457,11,11
16,6,16,16,APOE3,Control,50.65505405,-46.60129559,88.46463746,-37.80958341,1.597007952,4.991633978,-1.065260722,75.21446295,180,19.81953655,12,12
17,6,17,17,APOE3,Control,42.99047639,-48.114887,78.86781528,-35.87733889,1.72590414,4.02922686,-1.057367513,94.22254557,160,26.02770536,15,15
